FS_Method,Model,F1_mean,Acc_mean,Time_sec,Memory_MB,Num_Features,Jaccard,Kuncheva
Chi2,LogReg,0.6113139750045962,0.8079000000000001,1.2778565088907878,217.84375,10.0,1.0,0.9999999999928573
Chi2,RF,0.6662231069327335,0.802,1.3760990301767986,261.6158854166667,10.0,1.0,0.9999999999928573
RFE,LogReg,0.6102841423899987,0.8073333333333333,2.1018625100453696,264.9114583333333,10.0,1.0,0.9999999999928573
RFE,RF,0.6772458374815996,0.8141333333333334,1.8676482836405437,274.078125,10.0,1.0,0.9999999999928573
LASSO,LogReg,0.6102841423899987,0.8073333333333333,4.3816297849019366,264.9765625,10.0,1.0,0.9999999999928573
LASSO,RF,0.6772458374815996,0.8141333333333334,4.217351118723552,280.5520833333333,10.0,1.0,0.9999999999928573
