FS_Method,Model,F1_mean,Acc_mean,Time_sec,Memory_MB,Num_Features,Jaccard,Kuncheva
Chi2,LogReg,0.9319516096293589,0.9385222315046876,1.0709120432535808,168.30208333333334,10.0,1.0,0.999999999995
Chi2,RF,0.9390220131620017,0.9437853893994245,1.1975592772165935,169.17057291666666,10.0,1.0,0.999999999995
RFE,LogReg,0.9513368292212278,0.9561032210155016,1.1496719519297283,170.33984375,10.0,1.0,0.999999999995
RFE,RF,0.9468046627266448,0.9508214981899193,1.1474250952402751,170.34375,10.0,1.0,0.999999999995
LASSO,LogReg,0.9478064470995463,0.9525758841548315,1.0679784615834553,170.63541666666666,6.0,1.0,0.9999999999930557
LASSO,RF,0.9561952643858281,0.9596119929453263,1.0866600672403972,170.8046875,6.0,1.0,0.9999999999930557
