FS_Method,Model,F1_mean,Acc_mean,Time_sec,Memory_MB,Num_Features,Jaccard,Kuncheva
Chi2,LogReg,0.28448967084093196,0.2920272841827723,1.2707702318827312,651.0247395833334,10.0,1.0,0.9999999999979167
Chi2,RF,0.2624041356608457,0.2584410534188701,1.2954241434733074,669.60546875,10.0,1.0,0.9999999999979167
RFE,LogReg,0.23699344604966785,0.27594088633287145,8.016252279281616,682.8828125,10.0,1.0,0.9999999999979167
RFE,RF,0.2678745165690961,0.2876968978433861,8.181068897247314,763.296875,10.0,1.0,0.9999999999979167
LASSO,LogReg,0.24850300911676426,0.290524330392901,8.990359226862589,723.15625,10.0,1.0,0.9999999999979167
LASSO,RF,0.284360701532205,0.3013075873728541,7.286046187082927,766.6744791666666,10.0,1.0,0.9999999999979167
