FS_Method,Model,F1_mean,Acc_mean,Time_sec,Memory_MB,Num_Features,Jaccard,Kuncheva
Chi2,LogReg,0.3386986217854607,0.3895285642407266,1.9890810648600261,1428.1783854166667,10.0,1.0,0.9999999999994736
Chi2,RF,0.39631221675801864,0.4234713938468109,2.599078893661499,1531.1614583333333,10.0,1.0,0.9999999999994736
RFE,LogReg,0.7221021726123519,0.7319000264208063,548.3771616617838,1685.796875,10.0,1.0,0.9999999999994736
RFE,RF,0.8438571814266705,0.8467142895292166,433.73496317863464,1644.05078125,10.0,1.0,0.9999999999994736
LASSO,LogReg,0.6811259067798446,0.6938857308952263,269.781051715215,1698.6015625,10.0,1.0,0.9999999999994736
LASSO,RF,0.8094189176106955,0.8137571729847766,268.9902901649475,1769.9348958333333,10.0,1.0,0.9999999999994736
